zip_code_prefix,lng,lat,city,state
008,-46.5666116436321,-23.7180604277222,sao paulo,sp
010,-46.6309482320387,-23.5495333966183,sao paulo,sp
010,-46.6352208491546,-23.5502020896474,sao paulo,sp
010,-46.636587926597,-23.54693540438,sao paulo,sp
010,-46.634091233972,-23.5464603943967,sao paulo,sp
010,-46.6359040217843,-23.5400353488661,sao paulo,sp
010,-46.640834743407,-23.5459988170985,sao paulo,sp
010,-46.6430335664781,-23.5465945772982,sao paulo,sp
010,-46.6416031999826,-23.5464442925156,sao paulo,sp
010,-46.6338624384911,-23.5373043156142,sao paulo,sp
010,-46.6405883119626,-23.5477923105776,sao paulo,sp
010,-46.6360255285647,-23.5382291999529,sao paulo,sp
010,-46.6339571183853,-23.5497792994691,sao paulo,sp
010,-46.6335452993249,-23.5436579053609,sao paulo,sp
010,-46.6334305573029,-23.5463189197876,sao paulo,sp
010,-46.6369788631233,-23.5429753189897,sao ?paulo,sp
010,-46.6361811618097,-23.5508164679439,sao paulo,sp
010,-46.634238753823,-23.5473708717756,sao paulo,sp
010,-46.6356716565296,-23.5422223694097,sao paulo,sp
010,-46.62999,-23.5495485,sao paulo,sp
010,-46.6322486795833,-23.5451676947025,sao paulo,sp
010,-46.6337564367245,-23.5518461770731,sao paulo,sp
010,-46.6346325534364,-23.5479923746898,sao paulo,sp
010,-46.6352505895032,-23.5415927360494,sao paulo,sp
010,-46.6406694271452,-23.5446673724681,sao paulo,sp
010,-46.640326243407,-23.5456198426337,sao paulo,sp
010,-46.6308453178422,-23.541081532633,sao paulo,sp
010,-46.6340036282244,-23.548878451007,sao paulo,sp
010,-46.6403804017274,-23.5459491197542,sao paulo,sp
010,-46.6335594782338,-23.549292,sao paulo,sp
010,-46.6390955527439,-23.5463035603613,sao paulo,sp
010,-46.6412596518732,-23.5458974805131,sao paulo,sp
010,-46.6375916208613,-23.5489423622284,sao paulo,sp
010,-46.64319919124,-23.545731279214,sao paulo,sp
010,-46.6295625473195,-23.538609367188,sao paulo,sp
010,-46.6360316231549,-23.5476395503206,sao paulo,sp
010,-46.64316319124,-23.545884279214,sao paulo,sp
010,-46.6403387421663,-23.5455612228635,sao paulo,sp
010,-46.6332716421028,-23.5448176378037,sao paulo,sp
010,-46.6348811117202,-23.5471192908708,sao paulo,sp
010,-46.6342636964915,-23.5469232084367,sao paulo,sp
010,-46.6350671004675,-23.5452536303018,sao paulo,sp
